Fecha; A�o ;Municipio;Paraje;Causa;Rasa;Arbolada; Total_(ha) ;X1;Y1;Latitud;Longitud
21/05/2018;2018;Vila-real;Rec Nou;Negligencia;0.3;0; <1 ;748624;4426696;39.95388518;-0.08951636
21/05/2018;2018;Ludiente;Corral Blanco;Rayo;0.002;0; <1 ;723007;4441218;40.09172791;-0.384096912
21/05/2018;2018;Sant Mateu;Mas de la Roca;Rayo;0;0.004; <1 ;763432;4485747;40.48064572;0.107799091
22/05/2018;2018;Suera/Sueras;Peña Marco;Rayo;0;0.09; <1 ;728107;4426816;39.96074484;-0.32939672
27/05/2018;2018;Vall de Almonacid;Rincón de Soriano;Rayo;0.001;0; <1 ;715548;4417762;39.88254149;-0.479287226
28/05/2018;2018;Alcalà de Xivert;Malentiu;Rayo;0;0; <1 ;771431;4463391;40.27697528;0.19251265
30/05/2018;2018;Puebla de Arenoso;Masía Artiaguillas;Rayo;0;0.001; <1 ;703870;4438885;40.07557771;-0.609118407
28/06/2018;2018;Torralba del Pinar;Masia del Prado;Rayo;0;0.001; <1 ;714743;4431021;40.00209262;-0.484322958
28/06/2018;2018;Cirat;Jarica;Rayo;0;0.05; <1 ;716454;4436250;40.04872173;-0.462553106
02/07/2018;2018;Benicarló;Riu Sec;Negligencia;0.01;0; <1 ;790675;4480645;40.42568078;0.426340005
10/07/2018;2018;Xert;Tossal Pinós;Rayo;0.1;0; <1 ;763494;4496151;40.57421706;0.112860931
10/07/2018;2018;Villahermosa del Río;Cas Juan Antonio;Rayo;0;0.55; <1 ;717532;4449938;40.17164557;-0.445319585
10/07/2018;2018;Villahermosa del Río;Sierra Aspera;Rayo;0.07;0; <1 ;718952;4449574;40.16800036;-0.428782744
10/07/2018;2018;Llucena/Lucena del Cid;Torre Foios;Rayo;0.001;0; <1 ;728353;4446390;40.13684198;-0.319623527
09/08/2018;2018;Xert;Fontanals;Rayo;0.5;0; <1 ;768110;4493857;40.5521006;0.166341402
09/08/2018;2018;Benicarló;Les Alcores;Rayo;0.825;0; <1 ;786579;4485415;40.46999943;0.380289548
13/08/2018;2018;Alfondeguilla;Paridera;Rayo;0.02;0; <1 ;730627;4413162;39.83717629;-0.304746046
13/08/2018;2018;Torralba del Pinar;Tajar;Rayo;0;0.003; <1 ;719581;4428021;39.97384675;-0.428713167
17/08/2018;2018;Altura;Corral Nuevo;Rayo;0.001;0; <1 ;710342;4410548;39.81890995;-0.542433198
21/08/2018;2018;Artana;Serra (Penya migdia);Otras Causas;0;0.001; <1 ;736511;4418841;39.88666715;-0.234003468
29/08/2018;2018;Fanzara;Riu Millars;Desconocida / En investigación;0;0.05; <1 ;728728;4432597;40.01260592;-0.320100038
03/10/2018;2018;Alcora (l');Mas Vell;Intencionado;0;0.4; <1 ;736925;4435603;40.03739756;-0.223066738
11/10/2018;2018;Coves de Vinromà (les);Rajolar Rinera;Intencionado;0.3;0; <1 ;766322;4467505;40.31562584;0.134218795
03/01/2019;2019;Castillo de Villamalefa;Río Villahermosa;Desconocida / En investigación;0;0.02; <1 ;721537;4445033;40.12645222;-0.400015492
28/01/2019;2019;Altura;Balaguera;Otras Causas;0;0.2; <1 ;712327;4412365;39.83477246;-0.518672804
24/02/2019;2019;Sant Jordi/San Jorge;La Mare de Deu;Negligencia;0.025;0; <1 ;780279;4488384;40.49885098;0.307409723
17/03/2019;2019;Benassal;Barranco de Sola;Negligencia;0;0.03; <1 ;741188;4474025;40.38192757;-0.158746475
22/03/2019;2019;Alcora (l');Regatell;Intencionado;0;0.1; <1 ;740737;4436085;40.04065601;-0.178259148
18/05/2019;2019;Torralba del Pinar;Solana;Rayo;0;0.105; <1 ;718290;4431105;40.00193958;-0.44278098
20/05/2019;2019;Pobla de Benifassà (la);La Font de Sant Pere;Negligencia;0.001;0; <1 ;776248;4506238;40.66078526;0.26772902
22/05/2019;2019;Cirat;Mal paso;Rayo;0;0.08; <1 ;716280;4434759;40.03534603;-0.465088358
31/05/2019;2019;Santa Magdalena de Pulpis;El Camp Roig;Negligencia;0.008;0; <1 ;779713;4472345;40.35478404;0.293688909
05/06/2019;2019;Onda;Barranco Salvador;Desconocida / En investigación;0.3;0; <1 ;733111;4430300;39.99073547;-0.269625132
07/07/2019;2019;Benassal;Coll les Vistes;Rayo;0.25;0; <1 ;737824;4472516;40.36931548;-0.198892789
21/07/2019;2019;Rossell;Mas de masià;Intencionado;0.65;0.5;1.15;770268;4500662;40.61260978;0.194703456
26/07/2019;2019;Castell de Cabres;Caseta Bous;Rayo;0.005;0; <1 ;761274;4506008;40.66359131;0.090758596
