Year;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;TOTAL_DEATHS
1760;Makian;Halmahera-Indonesia;Indonesia;0.32;127.4;1357;Stratovolcano;Historical;2000
1762;Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835;Stratovolcano;Historical;
1766;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;
1766;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;49
1768;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;
1772;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;35
1772;Papandayan;Java;Indonesia;-7.32;107.73;2665;Stratovolcano;Historical;2957
1773;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;
1775;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;1300
1775;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580;Stratovolcano;Historical;
1778;Raikoke;Kuril Is;Russia;48.292;153.25;551;Stratovolcano;Historical;15
1779;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;
1779;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;153
1780;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;
1780;Aoga-Shima;Izu Is-Japan;Japan;32.45;139.77;423;Stratovolcano;Historical;7
1780;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;
1780;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;
1781;Sakura-Jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;38
1783;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;1491
1784;Grimsvotn;Iceland-Ne;Iceland;64.42;-17.33;1725;Caldera;Historical;9350
1784;Sabancaya;Peru;Peru;-15.78;-71.85;5967;Stratovolcano;Historical;
1785;Aoga-Shima;Izu Is-Japan;Japan;32.45;139.77;423;Stratovolcano;Historical;135
1786;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex Volcano;Historical;38
1789;Oshima;Izu Is-Japan;Japan;34.73;139.38;758;Stratovolcano;Historical;
1790;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;5405
1792;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex Volcano;Historical;14524
1794;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;400
1800;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure Vent;Historical;9
1800;Guntur;Java;Indonesia;-7.13;107.83;2249;Complex Volcano;Historical;
1800;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;
1800;Kieyo;Africa-E;Tanzania;-9.23;33.78;2175;Stratovolcano;Historical;
1800;Hualalai;Hawaiian Is;United States;19.692;-155.87;2523;Shield Volcano;Historical;2
1801;Chokai;Honshu-Japan;Japan;39.08;140.03;2237;Stratovolcano;Historical;8
1803;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;
1803;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex Volcano;Historical;
1804;Shikotsu;Hokkaido-Japan;Japan;42.7;141.33;1320;Caldera;Historical;
1805;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;4
1812;Soufriere St. Vincent;W Indies;St. Vincent & The Grenadines;13.33;-61.18;1220;Stratovolcano;Historical;56
1812;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;Historical;953
1814;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;1200
1815;Tambora;Lesser Sunda Is;Indonesia;-8.25;118;2850;Stratovolcano;Historical;117000
1816;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;1
1817;Ijen;Java;Indonesia;-8.058;114.242;2799;Stratovolcano;Historical;
1817;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;
1818;Colima;Mexico;Mexico;19.514;-103.62;3850;Stratovolcano;Historical;
1819;Asuncion;Mariana Is-C Pacific;United States;19.67;145.4;857;Stratovolcano;Historical;
1820;Westdahl;Aleutian Is;United States;54.52;-164.65;1654;Stratovolcano;Historical;
1820;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;
1822;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;Historical;50
1822;Galunggung;Java;Indonesia;-7.25;108.05;2168;Stratovolcano;Historical;4011
1822;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;100
1823;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;
1824;Shishaldin;Aleutian Is;United States;54.75;-163.97;2857;Stratovolcano;Historical;
1825;Balbi;Bougainville-Sw Paci;Papua New Guinea;-5.83;154.98;2715;Stratovolcano;Holocene;
1826;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex Volcano;Historical;
1826;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;
1826;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;
1827;Avachinsky;Kamchatka;Russia;53.255;158.83;2741;Stratovolcano;Historical;
1827;Avachinsky;Kamchatka;Russia;53.255;158.83;2741;Stratovolcano;Historical;
1829;Guntur;Java;Indonesia;-7.13;107.83;2249;Complex Volcano;Historical;
1832;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;
1832;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;32
1833;Kaba;Sumatra;Indonesia;-3.52;102.62;1952;Stratovolcano;Historical;126
1835;Cosiguina;Nicaragua;Nicaragua;12.98;-87.57;872;Stratovolcano;Historical;
1835;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;
1837;Peuet Sague;Sumatra;Indonesia;4.914;96.329;2801;Complex Volcano;Historical;
1838;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;4
1839;Unnamed;Chile-Is;Chile;-33.62;-76.83;-642;Submarine Volcano;Uncertain;
1840;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;
1840;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield Volcano;Historical;
1840;Tinakula;Santa Cruz Is-Sw Pac;Solomon Is.;-10.38;165.8;851;Stratovolcano;Historical;
1840;Savo;Solomon Is-Sw Pacifi;Solomon Is.;-9.13;159.82;510;Stratovolcano;Historical;
1841;Kuchinoerabu-Jima;Ryukyu Is;Japan;30.43;130.22;649;Stratovolcano;Historical;
1843;Liamuiga;W Indies;St. Kitts & Nevis;17.37;-62.8;1156;Stratovolcano;Radiocarbon;
1843;Soufriere Guadeloupe;W Indies;Guadeloupe;16.05;-61.67;1467;Stratovolcano;Historical;
1843;Lamongan;Java;Indonesia;-8;113.342;1651;Stratovolcano;Historical;4
1843;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;56
1845;Soputan;Sulawesi-Indonesia;Indonesia;1.108;124.725;1784;Stratovolcano;Historical;118
1845;Ruiz;Colombia;Colombia;4.895;-75.322;5321;Stratovolcano;Historical;1000
1845;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;
1846;Tangkubanparahu;Java;Indonesia;-6.77;107.6;2084;Stratovolcano;Historical;
1846;E-San;Hokkaido-Japan;Japan;41.8;141.17;618;Stratovolcano;Historical;
1847;Fogo;Cape Verde Is;Cape Verde;14.95;-24.35;2829;Stratovolcano;Historical;
1847;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex Volcano;Historical;
1848;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;21
1850;Rabaul;New Britain-Sw Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic Shield;Historical;
1853;Niuafo'Ou;Tonga-Sw Pacific;Tonga;-15.6;-175.63;260;Shield Volcano;Historical;25
1853;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;34
1853;Unnamed;Taiwan-E Of;Taiwan;24;121.83;0;Submarine Volcano;Historical;
1854;Shiveluch;Kamchatka;Russia;56.653;161.36;3283;Stratovolcano;Historical;
1854;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;3
1856;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;Historical;2806
1856;Shishaldin;Aleutian Is;United States;54.75;-163.97;2857;Stratovolcano;Historical;
1856;Komaga-Take;Hokkaido-Japan;Japan;42.07;140.68;1140;Stratovolcano;Historical;20
1857;Umboi;New Guinea-Ne Of;Papua New Guinea;-5.589;147.875;1548;Complex Volcano;Holocene;
1858;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;
1860;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;
1860;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;
1861;Dubbi;Africa-Ne;Eritrea;13.58;41.808;1625;Stratovolcano;Historical;106
1861;Grimsvotn;Iceland-Ne;Iceland;64.42;-17.33;1725;Caldera;Historical;
1861;Makian;Halmahera-Indonesia;Indonesia;0.32;127.4;1357;Stratovolcano;Historical;326
1863;Yasur;Vanuatu-Sw Pacific;Vanuatu;-19.52;169.425;361;Stratovolcano;Historical;
1864;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;54
1866;Ofu-Olosega;Samoa-Sw Pacific;United States;-14.175;-169.618;639;Shield Volcano;Historical;
1867;Zao;Honshu-Japan;Japan;38.15;140.45;1841;Complex Volcano;Historical;3
1868;Mauna Loa;Hawaiian Is;United States;19.475;-155.608;4170;Shield Volcano;Historical;77
1868;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;
1869;Lewotobi;Lesser Sunda Is;Indonesia;-8.53;122.775;1703;Stratovolcano;Historical;2
1869;Lamongan;Java;Indonesia;-8;113.342;1651;Stratovolcano;Historical;8
1870;Ruang;Sangihe Is-Indonesia;Indonesia;2.28;125.425;725;Stratovolcano;Historical;
1870;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex Volcano;Historical;
1870;Aoba;Vanuatu-Sw Pacific;Vanuatu;-15.4;167.83;1496;Shield Volcano;Historical;
1871;Ruang;Sangihe Is-Indonesia;Indonesia;2.28;125.425;725;Stratovolcano;Historical;400
1871;Hibok-Hibok;Mindanao-Philippines;Philippines;9.203;124.673;1332;Stratovolcano;Historical;
1871;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;1
1871;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;3
1872;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;9
1872;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;200
1872;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;4
1872;Sinarka;Kuril Is;Russia;48.875;154.175;934;Stratovolcano;Historical;
1873;Ragang;Mindanao-Philippines;Philippines;7.67;124.5;2815;Stratovolcano;Historical;
