"date","RH3000","RH4000"
2023-03-16 00:00:00,35.29,22.949
2023-03-16 00:05:00,35.199,22.931
2023-03-16 00:10:00,35.077,22.91
2023-03-16 00:15:00,34.968,22.89
2023-03-16 00:20:00,34.944,22.91
2023-03-16 00:25:00,34.794,22.83
2023-03-16 00:30:00,34.605,22.75
2023-03-16 00:35:00,34.38,22.629
2023-03-16 00:40:00,34.166,22.573
2023-03-16 00:45:00,34.091,22.526
2023-03-16 00:50:00,33.86,22.427
2023-03-16 00:55:00,33.835,22.486
2023-03-16 01:00:00,33.805,22.326
2023-03-16 01:05:00,33.653,22.083
2023-03-16 01:10:00,33.578,22.205
2023-03-16 01:15:00,33.579,22.264
2023-03-16 01:20:00,33.579,22.283
2023-03-16 01:25:00,33.486,22.264
2023-03-16 01:30:00,33.372,22.225
2023-03-16 01:35:00,33.302,22.221
2023-03-16 01:40:00,33.194,22.186
2023-03-16 01:45:00,33.156,22.223
2023-03-16 01:50:00,33.14,22.225
2023-03-16 01:55:00,33.076,22.225
2023-03-16 02:00:00,32.983,22.164
2023-03-16 02:05:00,32.803,22.083
2023-03-16 02:10:00,32.618,21.982
2023-03-16 02:15:00,32.421,21.902
2023-03-16 02:20:00,32.172,21.74
2023-03-16 02:25:00,31.903,21.618
2023-03-16 02:30:00,31.634,21.456
2023-03-16 02:35:00,31.372,21.359
2023-03-16 02:40:00,31.161,21.274
2023-03-16 02:45:00,30.997,21.199
2023-03-16 02:50:00,30.855,21.144
2023-03-16 02:55:00,30.681,21.075
2023-03-16 03:00:00,30.543,21.034
2023-03-16 03:05:00,30.432,20.993
2023-03-16 03:10:00,30.342,20.972
2023-03-16 03:15:00,30.196,20.912
2023-03-16 03:20:00,30.099,20.894
2023-03-16 03:25:00,29.988,20.853
2023-03-16 03:30:00,29.849,20.791
2023-03-16 03:35:00,29.71,20.752
2023-03-16 03:40:00,29.572,20.692
2023-03-16 03:45:00,29.435,20.633
2023-03-16 03:50:00,29.291,20.571
2023-03-16 03:55:00,29.158,20.511
2023-03-16 04:00:00,29.003,20.45
2023-03-16 04:05:00,28.871,20.387
2023-03-16 04:10:00,28.712,20.328
2023-03-16 04:15:00,28.605,20.269
2023-03-16 04:20:00,28.483,20.25
2023-03-16 04:25:00,28.384,20.209
2023-03-16 04:30:00,28.286,20.167
2023-03-16 04:35:00,28.144,20.106
2023-03-16 04:40:00,28.023,20.046
